File Path,Function Name,Unprotected Accesses
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/netfilter/nf_conntrack_extend.c,"void *__nf_ct_ext_find(const struct nf_ct_ext *ext, u8 id)",ext->gen_id
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/netfilter/nf_tables_api.c,"static int nf_tables_dump_obj(struct sk_buff *skb, struct netlink_callback *cb)",nft_net->base_seq
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/netfilter/nf_tables_api.c,"static int nf_tables_commit(struct net *net, struct sk_buff *skb)",nft_net->base_seq
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/rxrpc/call_event.c,"bool rxrpc_input_call_event(struct rxrpc_call *call, struct sk_buff *skb)","call->keepalive_at,call->expect_term_by,call->ping_at,call->ack_lost_at,call->expect_rx_by,call->resend_at,call->delay_ack_at,call->expect_req_by,T,T,T,T,T,T,T,T,T"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/rxrpc/rxkad.c,"static int rxkad_verify_response(struct rxrpc_connection *conn, struct sk_buff *skb)",conn->channels[i].call_counter
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/ipv4/tcp_fastopen.c,"struct sock *tcp_try_fastopen(struct sock *sk, struct sk_buff *skb,      struct request_sock *req,      struct tcp_fastopen_cookie *foc,      const struct dst_entry *dst)","sock_net(sk,sock_net(sk,sock_net(sk,sock_net(sk,sock_net(sk"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/ipv4/syncookies.c,"struct sock *cookie_v4_check(struct sock *sk, struct sk_buff *skb)","sock_net(sk,sock_net(sk,sock_net(sk,sock_net(sk,sock_net(sk,sock_net(sk,sock_net(sk,sock_net(sk"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/ipv4/tcp_ipv4.c,"static void tcp_v4_reqsk_send_ack(const struct sock *sk, struct sk_buff *skb,  struct request_sock *req)","tcp_rsk(req,tcp_rsk(req,tcp_rsk(req"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/ipv4/tcp_ipv4.c,"struct sock *tcp_v4_syn_recv_sock(const struct sock *sk, struct sk_buff *skb,  struct request_sock *req,  struct dst_entry *dst,  struct request_sock *req_unhash,  bool *own_req)","sock_net(sk,sock_net(sk"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/ipv4/tcp_input.c,"static void tcp_check_sack_reordering(struct sock *sk, const u32 low_seq,      const int ts)",sock_net(sk
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/ipv4/tcp_input.c,"static void tcp_check_reno_reordering(struct sock *sk, const int addend)",sock_net(sk
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/ipv4/tcp_input.c,"static void tcp_dsack_set(struct sock *sk, u32 seq, u32 end_seq)",sock_net(sk
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/ipv4/tcp_input.c,"static void tcp_send_dupack(struct sock *sk, const struct sk_buff *skb)",sock_net(sk
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/ipv4/tcp_input.c,"u16 tcp_get_syncookie_mss(struct request_sock_ops *rsk_ops,  const struct tcp_request_sock_ops *af_ops,  struct sock *sk, struct tcphdr *th)",sock_net(sk
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/ipv4/tcp.c,static int tcp_inq_hint(struct sock *sk),"tp->rcv_nxt,tp->copied_seq"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/ipv4/tcp_minisocks.c,"tcp_timewait_state_process(struct inet_timewait_sock *tw, struct sk_buff *skb,   const struct tcphdr *th)","twsk_net(tw,twsk_net(tw"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/ipv4/tcp_minisocks.c,"struct sock *tcp_check_req(struct sock *sk, struct sk_buff *skb,   struct request_sock *req,   bool fastopen, bool *req_stolen)","inet_csk(sk,sock_net(sk,sock_net(sk,sock_net(sk,sock_net(sk,sock_net(sk,sock_net(sk,sock_net(sk,sock_net(sk"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/ipv4/af_inet.c,"int __inet_listen_sk(struct sock *sk, int backlog)",sock_net(sk
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/ipv4/af_inet.c,int inet_sk_rebuild_header(struct sock *sk),sock_net(sk
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/unix/garbage.c,void wait_for_unix_gc(void),gc_in_progress
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/tls/tls_sw.c,"static int tls_rx_reader_acquire(struct sock *sk, struct tls_sw_context_rx *ctx, bool nonblock)",ctx->reader_present
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/bluetooth/iso.c,static int iso_sock_release(struct socket *sock),sk->sk_lingertime
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/bluetooth/sco.c,static int sco_sock_release(struct socket *sock),sk->sk_lingertime
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/smc/smc_tx.c,"static int smc_tx_wait(struct smc_sock *smc, int flags)","sk->sk_err,sk->sk_shutdown"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/ipv6/syncookies.c,"struct sock *cookie_v6_check(struct sock *sk, struct sk_buff *skb)","sock_net(sk,sock_net(sk,sock_net(sk,sock_net(sk,sock_net(sk,sock_net(sk,sock_net(sk"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/ipv6/tcp_ipv6.c,static void tcp_v6_mtu_reduced(struct sock *sk),tcp_sk(sk
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/ipv6/tcp_ipv6.c,"static void tcp_v6_reqsk_send_ack(const struct sock *sk, struct sk_buff *skb,  struct request_sock *req)","tcp_rsk(req,tcp_rsk(req,tcp_rsk(req"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/ipv6/tcp_ipv6.c,"static struct sock *tcp_v6_syn_recv_sock(const struct sock *sk, struct sk_buff *skb, struct request_sock *req, struct dst_entry *dst, struct request_sock *req_unhash, bool *own_req)","sock_net(sk,sock_net(sk"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/packet/af_packet.c,"static int packet_recvmsg(struct socket *sock, struct msghdr *msg, size_t len,  int flags)","pkt_sk(sk,pkt_sk(sk,pkt_sk(sk"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/infiniband/sw/siw/siw_cq.c,"int siw_reap_cqe(struct siw_cq *cq, struct ib_wc *wc)",cqe->flags
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/infiniband/sw/siw/siw_qp_rx.c,static int siw_orqe_start_rx(struct siw_qp *qp),orqe->flags
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/infiniband/hw/hfi1/sdma.c,"void sdma_seqfile_dump_sde(struct seq_file *s, struct sdma_engine *sde)",sde->descq_tail
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/infiniband/hw/hfi1/user_sdma.c,"static int user_sdma_send_pkts(struct user_sdma_request *req, u16 maxpkts)",iovec->offset
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/infiniband/hw/hfi1/file_ops.c,static int ctxt_reset(struct hfi1_ctxtdata *uctxt),"dd->flags,dd->flags"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/infiniband/hw/efa/efa_com.c,"static u32 efa_com_reg_read32(struct efa_com_dev *edev, u16 offset)",read_resp->req_id
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/infiniband/ulp/rtrs/rtrs-clt.c,static int create_cm(struct rtrs_clt_con *con),clt_path->state
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/infiniband/ulp/rtrs/rtrs-clt.c,static int rtrs_send_path_info(struct rtrs_clt_path *clt_path),clt_path->state
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/cpufreq/cpufreq_governor.c,"static void dbs_update_util_handler(struct update_util_data *data, u64 time,    unsigned int flags)",policy_dbs->last_sample_time
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/cpufreq/amd-pstate-ut.c,static void amd_pstate_ut_check_perf(u32 index),"cpudata->nominal_perf,cpudata->highest_perf,cpudata->lowest_perf,cpudata->lowest_nonlinear_perf"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/xen/pvcalls-front.c,int pvcalls_front_socket(struct socket *sock),bedata->rsp[req_id].req_id
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/xen/pvcalls-front.c,"int pvcalls_front_connect(struct socket *sock, struct sockaddr *addr,int addr_len, int flags)",bedata->rsp[req_id].req_id
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/xen/pvcalls-front.c,"int pvcalls_front_bind(struct socket *sock, struct sockaddr *addr, int addr_len)",bedata->rsp[req_id].req_id
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/xen/pvcalls-front.c,"int pvcalls_front_listen(struct socket *sock, int backlog)",bedata->rsp[req_id].req_id
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/xen/pvcalls-front.c,"int pvcalls_front_accept(struct socket *sock, struct socket *newsock, int flags)","bedata->rsp[req_id].req_id,bedata->rsp[req_id].req_id,map->passive.inflight_req_id,map->passive.inflight_req_id"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/xen/events/events_base.c,int get_evtchn_to_irq(evtchn_port_t evtchn),evtchn_to_irq[EVTCHN_ROW(evtchn
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/hwtracing/coresight/coresight-etm-perf.c,"static void etm_event_stop(struct perf_event *event, int mode)","handle->event,handle->event,handle->event"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/crypto/nx/nx-common-powernv.c,"static int wait_for_csb(struct nx842_workmem *wmem,struct coprocessor_status_block *csb)","csb->flags,csb->flags,csb->flags"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/dma-buf/st-dma-fence.c,static int thread_signal_callback(void *arg),"cb.seen,cb.seen,cb.seen"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/gpu/drm/amd/amdgpu/amdgpu_ih.c,"void amdgpu_ih_ring_write(struct amdgpu_device *adev, struct amdgpu_ih_ring *ih,  const uint32_t *iv, unsigned int num_dw)",ih->rptr
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/gpu/drm/amd/amdkfd/kfd_process.c,int kfd_process_drain_interrupts(struct kfd_process_device *pdd),"pdd->process->irq_drain_is_open,pdd->process->irq_drain_is_open,pdd->process->irq_drain_is_open"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/gpu/drm/i915/i915_active.c,"static struct active_node *__active_lookup(struct i915_active *ref, u64 idx)","it->timeline,it->timeline"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/gpu/drm/i915/i915_request.c,"long i915_request_wait_timeout(struct i915_request *rq,       unsigned int flags,       long timeout)",wait.tsk
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/gpu/drm/i915/i915_vma.c,void __iomem *i915_vma_pin_iomap(struct i915_vma *vma),vma->iomap
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/gpu/drm/i915/selftests/i915_sw_fence.c,static int test_ipc(void *arg),ipc.value
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/gpu/drm/i915/selftests/i915_request.c,static int mock_breadcrumbs_smoketest(void *arg),threads[n].result
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/gpu/drm/i915/selftests/i915_request.c,static int live_parallel_engines(void *arg),threads[idx].result
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/gpu/drm/i915/selftests/i915_request.c,static int perf_parallel_engines(void *arg),engines[idx].result
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/gpu/drm/i915/gt/selftest_execlists.c,"static int wait_for_reset(struct intel_engine_cs *engine,  struct i915_request *rq,  unsigned long timeout)",rq->fence.error
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/gpu/drm/i915/gt/selftest_execlists.c,static int live_preempt_user(void *arg),result[0]
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/gpu/drm/i915/gt/selftest_engine_pm.c,"static int __measure_timestamps(struct intel_context *ce,u64 *dt, u64 *d_ring, u64 *d_ctx)",sema[1]
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/gpu/drm/i915/gt/selftest_lrc.c,"static int __lrc_timestamp(const struct lrc_timestamp *arg, bool preempt)",arg->ce[0]->lrc_reg_state[CTX_TIMESTAMP]
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/gpu/drm/i915/gt/intel_execlists_submission.c,__execlists_schedule_in(struct i915_request *rq),engine->context_tag
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/gpu/drm/i915/gt/intel_execlists_submission.c,static void execlists_submission_tasklet(struct tasklet_struct *t),"engine->execlists.error_interrupt,engine->execlists.error_interrupt,engine->execlists.error_interrupt,engine->execlists.error_interrupt,engine->execlists.error_interrupt"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/gpu/drm/i915/gt/uc/intel_guc_ct.c,"static int ct_write(struct intel_guc_ct *ct,    const u32 *action,    u32 len /* in dwords */,    u32 fence, u32 flags)","desc->tail,desc->tail,desc->head,desc->head"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/gpu/drm/i915/gt/uc/intel_guc_ct.c,"static int ct_read(struct intel_guc_ct *ct, struct ct_incoming_msg **msg)","desc->tail,desc->head,desc->head"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/gpu/drm/i915/gem/i915_gem_mman.c,static struct file *mmap_singleton(struct drm_i915_private *i915),i915->gem.mmap_singleton
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/gpu/drm/vmwgfx/vmwgfx_drv.c,"static int vmwgfx_pm_notifier(struct notifier_block *nb, unsigned long val,      void *ptr)","dev_priv->suspend_locked,dev_priv->suspend_locked"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/nvme/host/ioctl.c,"static int nvme_uring_cmd_io(struct nvme_ctrl *ctrl, struct nvme_ns *ns,struct io_uring_cmd *ioucmd, unsigned int issue_flags, bool vec)",cmd->flags
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/nvme/target/core.c,static void nvmet_update_sq_head(struct nvmet_req *req),req->sq->sqhd
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/net/ethernet/intel/igc/igc_main.c,"u32 igc_rd32(struct igc_hw *hw, u32 reg)",hw->hw_addr
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/net/ethernet/intel/igb/igb_main.c,"u32 igb_rd32(struct e1000_hw *hw, u32 reg)",hw->hw_addr
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/net/ethernet/intel/fm10k/fm10k_pci.c,"u32 fm10k_read_reg(struct fm10k_hw *hw, int reg)",hw->hw_addr
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/net/ethernet/intel/fm10k/fm10k_pci.c,static void fm10k_detach_subtask(struct fm10k_intfc *interface),interface->uc_addr
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/net/ethernet/intel/i40e/i40e_ethtool.c,"static int i40e_set_fec_cfg(struct net_device *netdev, u8 fec_cfg)",pf->flags
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/net/ethernet/intel/i40e/i40e_ethtool.c,"static int i40e_set_priv_flags(struct net_device *dev, u32 flags)",pf->flags
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/net/ethernet/intel/ixgbe/ixgbe_main.c,void ixgbe_update_stats(struct ixgbe_adapter *adapter),"adapter->rx_ring[i],adapter->rx_ring[i]"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/net/ethernet/amazon/ena/ena_com.c,"static u32 ena_com_reg_bar_read32(struct ena_com_dev *ena_dev, u16 offset)",read_resp->req_id
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/net/ethernet/qlogic/qed/qed_iwarp.c,"int qed_iwarp_destroy_qp(struct qed_hwfn *p_hwfn, struct qed_rdma_qp *qp)","ep->state,ep->state"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/net/ethernet/google/gve/gve_ethtool.c,"static int gve_set_priv_flags(struct net_device *netdev, u32 flags)",priv->ethtool_flags
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/net/ethernet/mediatek/mtk_ppe.c,"mtk_flow_entry_update_l2(struct mtk_ppe *ppe, struct mtk_flow_entry *entry)",hwe->ib1
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/net/ethernet/freescale/fec_main.c,"fec_enet_tx_queue(struct net_device *ndev, u16 queue_id, int budget)",txq->bd.cur
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/net/ethernet/cavium/liquidio/cn23xx_vf_device.c,"static int cn23xx_vf_reset_io_queues(struct octeon_device *oct, u32 num_queues)",reg_val
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/net/ethernet/cavium/liquidio/cn23xx_pf_device.c,static int cn23xx_reset_io_queues(struct octeon_device *oct),reg_val
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/net/ethernet/aquantia/atlantic/aq_main.c,"static netdev_features_t aq_ndev_fix_features(struct net_device *ndev,      netdev_features_t features)",aq_nic->xdp_prog
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/net/wireless/intel/iwlwifi/mvm/mac80211.c,"void iwl_mvm_sync_rx_queues_internal(struct iwl_mvm *mvm,     enum iwl_mvm_rxq_notif_type type,     bool sync,     const void *data, u32 size)","mvm->queue_sync_state,mvm->queue_sync_state,mvm->queue_sync_state"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/net/wireless/intel/iwlwifi/pcie/trans.c,"static int iwl_trans_pcie_wait_txq_empty(struct iwl_trans *trans, int txq_idx)",txq->write_ptr
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/net/wireless/broadcom/brcm80211/brcmfmac/sdio.c,static void brcmf_sdio_dataworker(struct work_struct *work),bus->dpc_triggered
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/net/wireless/ath/wcn36xx/dxe.c,"static int wcn36xx_rx_handle_packets(struct wcn36xx *wcn,     struct wcn36xx_dxe_ch *ch,     u32 ctrl,     u32 en_mask,     u32 int_mask,     u32 status_reg)",dxe->ctrl
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/char/xillybus/xillyusb.c,"static ssize_t xillyusb_read(struct file *filp, char __user *userbuf,     size_t count, loff_t *f_pos)","chan->read_data_ok,chan->read_data_ok,chan->read_data_ok,fifo->fill,fifo->fill"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/virtio/virtio_ring.c,"static void *virtqueue_get_buf_ctx_packed(struct virtqueue *_vq,  unsigned int *len,  void **ctx)",vq->last_used_idx
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/hv/channel_mgmt.c,static void vmbus_wait_for_unload(void),msg->header.message_type
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/scsi/fcoe/fcoe.c,static void fcoe_recv_frame(struct sk_buff *skb),stats->ErrorFrames
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/scsi/qla2xxx/qla_edif.c,"void qla_edif_sess_down(struct scsi_qla_host *vha, struct fc_port *sess)","sess->edif.sess_down_acked,sess->edif.sess_down_acked"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/platform/surface/aggregator/ssh_packet_layer.c,void ssh_ptl_cancel(struct ssh_packet *p),p->ptl
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/i2c/busses/i2c-rk3x.c,static int rk3x_i2c_wait_xfer_poll(struct rk3x_i2c *i2c),i2c->busy
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/s390/net/qeth_l2_main.c,static void qeth_addr_change_event_worker(struct work_struct *work),card->info.pnso_mode
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/usb/gadget/udc/gr_udc.c,static int gr_handle_out_ep(struct gr_ep *ep),req->curr_desc->ctrl
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/accel/ivpu/ivpu_job.c,"static int ivpu_cmdq_push_job(struct ivpu_cmdq *cmdq, struct ivpu_job *job)",header->tail
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/bluetooth/hci_bcm4377.c,"static void bcm4377_poll_completion_ring(struct bcm4377_data *bcm4377, struct bcm4377_completion_ring *ring)",heads[ring->ring_id]
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/dma/xilinx/xilinx_dpdma.c,"static ssize_t xilinx_dpdma_debugfs_read(struct file *f, char __user *buf, size_t size, loff_t *pos)",dpdma_debugfs.testcase
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/edac/altera_edac.c,"static ssize_t altr_sdr_mc_err_inject_write(struct file *file,    const char __user *data,    size_t count, loff_t *ppos)","ptemp[1],ptemp[0]"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/drivers/edac/altera_edac.c,"altr_edac_device_trig(struct file *file, const char __user *user_buf,      size_t count, loff_t *ppos)",ptemp[i]
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/security/keys/process_keys.c,static struct key *get_user_register(struct user_namespace *user_ns),user_ns->user_keyring_register
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/security/keys/keyring.c,"static bool search_nested_keyrings(struct key *keyring,   struct keyring_search_context *ctx)","node->back_pointer,node->back_pointer"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/virt/kvm/coalesced_mmio.c,"static int coalesced_mmio_write(struct kvm_vcpu *vcpu,struct kvm_io_device *this, gpa_t addr,int len, const void *val)",ring->last
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/arch/xtensa/kernel/smp.c,void __cpu_die(unsigned int cpu),cpu_start_id
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/arch/powerpc/kvm/book3s_hv_rm_xics.c,"int xics_rm_h_cppr(struct kvm_vcpu *vcpu, unsigned long cppr)","icp->state,icp->state"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/arch/powerpc/kvm/book3s_xics.c,"static noinline void kvmppc_h_cppr(struct kvm_vcpu *vcpu, unsigned long cppr)","icp->state,icp->state"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/arch/powerpc/lib/qspinlock.c,"static __always_inline bool yield_to_prev(struct qspinlock *lock, struct qnode *node, u32 val, bool paravirt)",node->yield_cpu
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/arch/powerpc/kernel/irq_64.c,notrace __no_kcsan void arch_local_irq_restore(unsigned long mask),"local_paca->irq_happened,local_paca->irq_happened,local_paca->irq_happened,local_paca->irq_happened"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/arch/s390/kvm/vsie.c,"static int shadow_scb(struct kvm_vcpu *vcpu, struct vsie_page *vsie_page)","scb_o->ecb,scb_o->ecb,scb_o->ecb,scb_o->ecb,scb_o->ecb,scb_o->ecb"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/arch/s390/lib/test_unwind.c,static void unwindme_timer_fn(struct timer_list *unused),unwindme
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/arch/s390/lib/spinlock.c,static inline void arch_spin_lock_queued(arch_spinlock_t *lp),"node->prev,node->prev,node->next"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/arch/s390/kernel/time.c,static int stp_sync_clock(void *data),"sync->in_sync,sync->in_sync"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/arch/s390/kernel/vtime.c,static int do_account_vtime(struct task_struct *tsk),"S390_lowcore.hardirq_timer,S390_lowcore.system_timer"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/arch/x86/platform/efi/quirks.c,void efi_crash_gracefully_on_page_fault(unsigned long phys_addr),efi_rts_work.efi_rts_id
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/arch/x86/kvm/cpuid.c,"static struct kvm_cpuid_entry2 *do_host_cpuid(struct kvm_cpuid_array *array,      u32 function, u32 index)",max_cpuid_80000000
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/arch/x86/events/intel/pt.c,"static long pt_event_snapshot_aux(struct perf_event *event,  struct perf_output_handle *handle,  unsigned long size)",pt->handle_nmi
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/arch/x86/kernel/smpboot.c,static inline void mwait_play_dead(void),md->control
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/arch/riscv/kvm/mmu.c,void kvm_riscv_gstage_free_pgd(struct kvm *kvm),kvm->arch.pgd
